SERBIAN,ENGLISH,NOTE
dijagnoza,diagnosis,Nominative case feminine singular
tada,then,Adverb
izlečiv,curable,Nominative case masculine singular adjective
kupon,coupon,Nominative case masculine singular
besplatan,free,Nominative case masculine singular adjective
analiza,analysis,Nominative case feminine singular
stanja,condition,Genitive case neuter singular
tela,body,Genitive case neuter singular
vrednost,value,Nominative case feminine singular
merenje,measurement,Nominative case neuter singular verbal noun
mišićne,muscle (adj.),Genitive case feminine singular adjective
masa,mass,Nominative case feminine singular
metabolizam,metabolism,Nominative case masculine singular
zdrav,healthy,Nominative case masculine singular adjective
doručak,breakfast,Nominative case masculine singular
rešenje,solution,Nominative case neuter singular
dugoročno,long-term,Adverb
dobrostanje,well-being,Nominative case neuter singular
vitalnost,vitality,Nominative case feminine singular
energija,energy,Nominative case feminine singular
trajno,permanent,Adverb
smanjenje,reduction,Nominative case neuter singular verbal noun
višak,excess,Nominative case masculine singular
kilogrami,kilograms,Nominative case masculine plural
ishranom,nutrition/diet,Instrumental case feminine singular
podrška,support,Nominative case feminine singular
stručnog,professional (adj.),Genitive case masculine singular adjective
savetnika,advisor,Genitive case masculine singular
savet,advice,Nominative case masculine singular
sastavljamo,we create/assemble,Present tense 1st person plural
individualni,individual,Nominative case masculine singular adjective
program,program/plan,Nominative case masculine singular
probni,trial,Nominative case masculine singular adjective
paket,package,Nominative case masculine singular
dana,days,Genitive case masculine plural
probajte,try (imperative),Imperative 2nd person plural
osetite,feel (imperative),Imperative 2nd person plural
razlika,difference,Nominative case feminine singular
zakažite,schedule (imperative),Imperative 2nd person plural
termin,appointment,Nominative case masculine singular
već,already,Adverb
danas,today,Adverb
majice,t-shirts,Nominative case feminine plural
duksevi,hoodies,Nominative case masculine plural
štampom,with print,Instrumental case feminine singular
uslužna,service-based,Nominative case feminine singular adjective
tekstil,textile,Nominative case masculine singular
bez,without,Preposition
ograničenja,limitations,Genitive case neuter plural
tiraža,circulation/print run,Nominative case feminine singular
primećeni,noticed,Passive participle masculine plural
duhoviti,witty,Nominative case masculine plural adjective
pokazati,show,Infinitive
stav,stance/opinion,Nominative case masculine singular
izraziti,express,Infinitive
mišljenje,opinion,Nominative case neuter singular
stil,style,Nominative case masculine singular
poruka,message,Nominative case feminine singular
govore,speak,Present tense 3rd person plural
umesto,instead of,Preposition
posetite,visit (imperative),Imperative 2nd person plural
modeli,models,Nominative case masculine plural
mesto,place,Nominative case neuter singular
brzo,quickly,Adverb
dizajniraj,design (imperative),Imperative 2nd person singular
želji,preference/desire,Dative case feminine singular
kupaca,customers,Genitive case masculine plural
kvalitetan,high-quality,Nominative case masculine singular adjective
materijal,material,Nominative case masculine singular
pamuk,cotton,Nominative case masculine singular
minimalnih,minimal,Genitive case plural adjective
količina,quantities,Genitive case feminine plural
veće,larger,Nominative case plural comparative adjective
porudžbine,orders,Nominative case feminine plural
posebni,special,Nominative case masculine plural adjective
uslovi,conditions,Nominative case masculine plural
brige,worries,Nominative case feminine plural
online,online,Indeclinable adjective (anglicism)
tibetanske,tibetan,Nominative case feminine plural adjective
zvučne,sound (adj.),Nominative case feminine plural adjective
pevajuće,singing,Present participle feminine plural
činije,bowls,Nominative case feminine plural
meditacija,meditation,Nominative case feminine singular
masaža,massage,Nominative case feminine singular
ručno,handmade,Adverb
izrađene,crafted/made,Passive participle feminine plural
veličina,size,Nominative case feminine singular
naručite,order (imperative),Imperative 2nd person plural
kupite,buy (imperative),Imperative 2nd person plural
obuka,training,Nominative case feminine singular
edukacija,education,Nominative case feminine singular
praktičar,practitioner,Nominative case masculine singular
sertifikat,certificate,Nominative case masculine singular
traje,lasts,Present tense 3rd person singular
prijave,applications,Nominative case feminine plural
zdravlje,health,Nominative case neuter singular
podmlađuje,rejuvenates,Present tense 3rd person singular
otklanja,removes,Present tense 3rd person singular
nagomilani,accumulated,Passive participle masculine singular
stres,stress,Nominative case masculine singular (anglicism)
olakšava,relieves,Present tense 3rd person singular
bolovi,pains,Nominative case masculine plural
noge,legs,Nominative case feminine plural
ruke,hands,Nominative case feminine plural
kičma,spine,Nominative case feminine singular
povećava,increases,Present tense 3rd person singular
protiv,against,Preposition
hronično,chronic,Adverb
umor,fatigue,Nominative case masculine singular
nesanica,insomnia,Nominative case feminine singular
poboljšava,improves,Present tense 3rd person singular
cirkulacija,circulation,Nominative case feminine singular
krv,blood,Nominative case feminine singular
limfa,lymph,Nominative case feminine singular
otpornost,resistance,Nominative case feminine singular
bolesti,diseases,Genitive case feminine singular
uspostavlja,establishes,Present tense 3rd person singular
mentalna,mental,Nominative case feminine singular adjective
emocionalna,emotional,Nominative case feminine singular adjective
fizička,physical,Nominative case feminine singular adjective
ravnoteža,balance,Nominative case feminine singular
preporučuje,recommended,Present tense 3rd person singular
poslovnim,business (adj.),Dative case masculine plural adjective
sportistima,athletes,Dative case masculine plural
postizanje,achieving,Nominative case neuter singular verbal noun
rezultati,results,Nominative case masculine plural
zanimanje,profession,Nominative case neuter singular
uzrokuje,causes,Present tense 3rd person singular
prodaja,sale,Nominative case feminine singular
robe,goods,Genitive case feminine singular
pristupačne,affordable,Nominative case feminine plural adjective
cene,prices,Nominative case feminine plural
boje,colors,Nominative case feminine plural
lakovi,paints,Nominative case masculine plural
fasade,facades,Nominative case feminine plural
lepkovi,adhesives,Nominative case masculine plural
elektro,electrical,Indeclinable prefix
vodo,water-related,Indeclinable prefix
šrafovska,screw-related,Nominative case feminine singular adjective
roba,goods,Nominative case feminine singular
ručni,manual,Nominative case masculine singular adjective
električni,electric,Nominative case masculine singular adjective
alat,tool,Nominative case masculine singular
gips,plaster,Nominative case masculine singular
ploče,boards,Nominative case feminine plural
profili,profiles,Nominative case masculine plural
stiropor,styrofoam,Nominative case masculine singular
uspešno,successfully,Adverb
poslujemo,operate/do business,Present tense 1st person plural
godina,years,Genitive case feminine plural
uskoro,soon,Adverb
otvaranje,opening,Nominative case neuter singular verbal noun
otkup,buyback,Nominative case masculine singular
udžbenici,textbooks,Nominative case masculine plural
polovni,used/second-hand,Nominative case masculine plural adjective
osnovna,elementary,Nominative case feminine singular adjective
škola,school,Nominative case feminine singular
srednja,high (school),Nominative case feminine singular adjective
popust,discount,Nominative case masculine singular
flajer,flyer,Nominative case masculine singular (anglicism)
najpovoljnije,most affordable,Superlative adjective neuter singular
ekstra,extra,Indeclinable adjective
očuvani,preserved/well-kept,Passive participle masculine plural
izdavači,publishers,Nominative case masculine plural
akcija,promotion,Nominative case feminine singular
mapa,map,Nominative case feminine singular
stadion,stadium,Nominative case masculine singular
most,bridge,Nominative case masculine singular
park,park,Nominative case masculine singular
bulevar,boulevard,Nominative case masculine singular
promenada,promenade,Nominative case feminine singular
kontakt,contact,Nominative case masculine singular
zakazivanje,scheduling,Nominative case neuter singular verbal noun
